ta_name,delta_Abrupt_Cy_S,delta_Abrupt_Cy_M,delta_Abrupt_Cy_L,delta_Abrupt_R_S,delta_Abrupt_R_M,delta_Abrupt_R_L,delta_Abrupt_Os_S,delta_Abrupt_Os_M,delta_Abrupt_Os_L,delta_Abrupt_Oh_S,delta_Abrupt_Oh_M,delta_Abrupt_Oh_L,delta_Abrupt_D_S,delta_Abrupt_D_M,delta_Abrupt_D_L,delta_Abrupt_Eu_S,delta_Abrupt_Eu_M,delta_Abrupt_Eu_L,year_period
Ashburton District,0.1,0.033333333333333326,-0.13333333333333333,-72.8,-219.66666666666666,248.73333333333335,0.0,-33.36333333333333,28.721333333333327,0.0,-2.2,2.0,1.4,-25.933333333333344,25.080000000000013,0.1,-9.1,-3.6,2019-2020
Ashburton District,0.1,0.033333333333333326,-0.13333333333333333,35.1,-48.46666666666667,-21.53333333333333,0.0,-3.333333333333333,-65.26666666666667,2.2,-1.3333333333333335,1.2,-3.0,-15.799999999999999,-4.2666666666666675,0.1,-0.1,0.0,2020-2021
Ashburton District,0.1,0.033333333333333326,-0.13333333333333333,-30.9,-143.89999999999998,91.26666666666667,0.0,-2.8666666666666663,-9.666666666666668,0.2,-2.7333333333333334,2.3333333333333335,-3.4,9.6,128.4,0.1,-0.1,0.0,2021-2022
Ashburton District,-1.0,-2.1,-6.133333333333334,233.25,-61.56666666666666,-62.2,0.0,5.133333333333334,59.86666666666667,0.2,0.26666666666666666,-0.4666666666666667,47.845000000000006,10.0,-52.54999999999999,-1.0,-0.1,1.0,2022-2023
Ashburton District,1.441,9.322666666666667,12.95,89.67300000000007,-124.30866666666674,75.96666666666667,0.0,-33.36266666666667,32.94666666666665,-1.395,0.14933333333333298,1.093333333333332,-38.75300000000001,47.091666666666676,-9.720000000000004,6.127000000000001,2.656,3.95,2023-2024
Auckland Council,-6.3999999999999995,-5.690000000000012,6.466666666666667,-275.8100000000002,-1706.2366666666699,40.0799999999997,7.9,-3.8133333333333352,-28.8,2.3,-23.3,-53.8,6.6,0.0,-6.0,-0.20800000000000002,8.433333333333334,-4.919999999999999,2019-2020
Auckland Council,0.3,-40.53333333333332,37.42,357.8000000000004,-744.3899999999999,261.4666666666667,-9.0,-16.533333333333328,22.913333333333334,-3.0,-30.766666666666662,29.2,0.6,-0.6,0.0,2.58,-1.8719999999999999,-1.8133333333333344,2020-2021
Auckland Council,0.3,4.033333333333333,-8.466666666666667,1117.1,-958.6333333333332,199.4000000000001,0.0,-9.266666666666666,7.333333333333333,0.0,-38.0,33.46666666666667,0.6,-0.6,0.0,-3.0,-0.2999999999999998,0.7999999999999998,2021-2022
Auckland Council,-3.0,-41.96666666666666,-4.333333333333333,-2659.6,377.6333333333333,-1560.0666666666666,22.418,3.2613333333333383,-9.733333333333334,5.5,7.533333333333333,-24.0,-6.0,-0.6,0.0,0.19799999999999998,1.9333333333333331,-5.18,2022-2023
Auckland Council,0.0,56.79466666666667,-13.453333333333338,4157.3,12.199999999999818,116.26666666666665,13.72,1.1419999999999955,-0.8913333333333338,35.029,-40.02533333333334,30.75666666666669,6.6,0.0,0.0,9.049000000000001,9.315333333333333,-10.133333333333333,2023-2024
Banks Peninsula District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
Buller District,0.0,-1.9333333333333333,-0.2,270.0200000000001,-247.37466666666663,-140.11999999999995,0.0,-6.133333333333333,5.666666666666667,0.0,6.933333333333334,-0.5333333333333333,-69.9,66.83333333333333,-22.2,0.0,0.0,0.0,2019-2020
Buller District,0.0,0.06666666666666667,-4.066666666666666,283.4,-28.299999999999997,21.666666666666664,1.1,-5.533333333333333,-11.866666666666667,15.4,-2.2666666666666666,1.0666666666666667,-12.5,38.166666666666664,-26.533333333333335,0.0,0.0,0.0,2020-2021
Buller District,0.0,-1.0,-2.066666666666667,85.4,75.0,-28.799999999999997,26.5,-1.7666666666666668,-9.466666666666667,35.5,-0.6666666666666666,-1.7333333333333334,-48.1,61.7,-17.266666666666666,0.0,0.0,0.0,2021-2022
Buller District,0.0,0.0,-23.0,-234.80499999999995,258.6533333333333,-28.4,17.250999999999998,-2.1666666666666665,-13.74333333333333,-35.672,35.188,-0.7333333333333333,-79.0,-388.43333333333334,-74.2,0.0,0.0,-8.0,2022-2023
Buller District,0.0,0.0,55.0,207.97199999999992,99.72633333333336,-41.303333333333285,-7.5769999999999955,-5.640999999999999,13.04666666666669,-0.4500000000000006,8.314666666666664,-14.607999999999997,60.04900000000001,334.0426666666666,135.90333333333334,0.0,0.8106666666666666,6.25,2023-2024
Carterton District,0.0,0.13333333333333333,-0.13333333333333333,-38.5,22.600000000000023,-9.133333333333326,0.0,-0.8,0.6666666666666667,2.6,-2.533333333333333,-0.06666666666666667,0.0,1.6,-1.6,0.7,-1.8,0.0,2019-2020
Carterton District,0.0,0.13333333333333333,-0.13333333333333333,222.3,3335.3,515.2,0.0,-0.9333333333333333,0.8,2.6,-2.533333333333333,1.9333333333333333,14.3,16.53333333333333,-1.6,1.7,-1.7,0.0,2020-2021
Carterton District,0.0,0.13333333333333333,-0.13333333333333333,312.7,54.56666666666666,-233.79999999999995,0.0,1.0666666666666667,-1.0666666666666667,1.5,-2.533333333333333,-0.06666666666666667,-13.0,1.2333333333333332,-2.533333333333333,1.7,-1.7,0.0,2021-2022
Carterton District,0.0,-2.0,-0.13333333333333333,-826.9,471.56666666666666,-493.8666666666667,0.0,1.0666666666666667,-44.06666666666667,0.18999999999999861,-2.433333333333333,-12.966666666666665,0.0,2.533333333333333,-2.533333333333333,-17.0,-1.7,0.0,2022-2023
Carterton District,0.044,2.1013333333333333,0.0,3107.53,-3090.286666666667,902.7333333333333,0.0,-1.0666666666666667,43.93333333333333,-14.001,-2.223333333333333,14.743333333333329,0.0,-17.104,15.876666666666667,10.505,4.650666666666667,13.09,2023-2024
Central Hawke's Bay District,1.3860000000000001,2.015333333333334,-4.314666666666667,6142.684,-5948.999999999999,-762.8899999999998,20.033,-40.61333333333334,-103.40666666666667,11.802,-34.282000000000004,-81.79666666666667,0.836,-3.389333333333335,-21.618666666666666,-89.068,65.768,-114.10666666666667,2023-2024
Central Hawkes Bay District,0.1,0.1,0.8,-203.7,-296.2666666666667,280.73333333333335,-61.3,30.866666666666667,32.266666666666666,14.3,-14.200000000000001,5.933333333333334,0.0,0.8,-0.8,6.800000000000001,-129.9,-17.933333333333334,2021-2022
